Ticker,Company
III,3i Group
3IN,3i Infrastructure
FOUR,4Imprint
888,888 Holdings
ABF,AB Foods
ANII,Ab New India
ADIG,Aberdeen Di&g
ASL,Aberforth Smaller Companies Trust Plc
ASIT,Aberforth Spli.
AAS,Abrdn Asiafocus
AAIF,Abrdn Asn Inc
ACIC,Abrdn China
AEI,Abrdn Equityinc
ASLI,Abrdn Euro Log
ABD,Abrdn Nw Dwn
ABDN,Abrdn Plc
API,Abrdn Property
APEO,Abrdn Pvt Equit
AUSC,Abrdn Uk Small
ADM,Admiral
AEWU,Aew Uk Reit
AAF,Airtel Africa
AJB,Aj Bell
ALFA,Alfa Fin
ATST,Alliance Trust
ATT,Allianz Technology Trust
AAL,Anglo American
AEP,Anglo-Eastern Plantations
ANTO,Antofagasta
AO,Ao World
APAX,Apax Glb
APTD,Aptitude
ATS,Artemis Alpha
ASCL,Ascential
ASHM,Ashmore
AIE,Ashoka India Equity Investment Trust Plc
AHT,Ashtead Group
DGN,Asia Dragon
ASC,ASOS
AGR,Assura
AML,Aston Martin Lagonda
AZN,Astrazeneca
ROOF,Atrato Onsite
ATG,Auction Tech
AUGM,Augmentum Fint.
ARR,Aurora Inv.tst.
AUTO,Auto Trader
AVV,Aveva Group
AGT,Avi Global Tst
AJOT,Avi Japan Oppo.
AV.,Aviva
AVON,Avon Protection
BME,B&M
BAB,Babcock
BA,BAE Systems
BGEU,Baillie Geu
BGCG,Baillie Gif. Ch
BGUK,Baillie Gifford
USA,Baillie Gifford
BGFD,Baillie Gifford Japan Trust PLC
BGS,Baillie Gifford Shin Nippon PLC
BAKK,Bakkavor
BCPT,Balanced Cpt Ld
BBY,Balfour Beatty
BCG,Baltic
BGEO,Bank Of Georgia Group
BNKR,Bankers Investment Trust
BARC,Barclays
BAG,Barr (A.G.)
BDEV,Barratt Developments
BBGI,BBGI
BEZ,Beazley
BBH,Bellevue Health
BWY,Bellway
BKG,Berkeley Group
BHMG,Bh Macro Gbp
BIFF,Biffa
BYG,Big Yellow
